,Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Solar Generation (W/kW),Heating Load (kWh),HVAC Mode (Off/Cooling/Heating),Temperature Set Point (C)
0,1,1,8.0,0.0,18.93,0.0,77.92,9.8,0.0,0.0,0.0,0,1,24.444444
1,1,2,8.0,0.0,18.82,0.0,77.97,10.41,0.0,0.0,0.0,0,1,24.444444
2,1,3,8.0,0.0,18.76,0.0,77.89,10.39,0.0,0.0,0.0,0,1,24.444444
3,1,4,8.0,0.0,18.66,0.0,77.74,10.33,0.0,0.0,0.0,0,1,24.444444
4,1,5,8.0,0.0,18.62,0.0,77.37,9.41,0.0,0.0,0.0,0,1,24.444444
5,1,6,8.0,0.0,18.61,0.0,77.08,9.74,0.0,0.0,0.0,0,1,24.444444
6,1,7,8.0,0.0,18.65,0.0,76.69,11.2,0.38,0.0,0.0,0,1,24.444444
7,1,8,8.0,0.0,18.67,0.0,76.62,10.56,0.38,0.0,0.0,0,1,24.444444
8,1,9,8.0,0.0,18.71,0.0,76.49,11.82,0.38,0.0,28.2155,0,1,24.444444
9,1,10,8.0,0.0,18.77,0.0,76.26,13.14,0.38,0.0,45.8566,0,1,24.444444
10,1,11,8.0,0.0,18.9,0.0,75.86,11.52,0.38,0.0,74.4313,0,1,24.444444
11,1,12,8.0,0.0,19.13,0.0,75.22,11.64,0.57,0.0,144.55,0,1,24.444444
12,1,13,8.0,0.0,19.36,0.0,74.75,12.1,0.57,0.0,148.719,0,1,24.444444
13,1,14,8.0,0.0,19.46,0.0,74.81,13.33,0.85,0.0,96.634,0,1,24.444444
14,1,15,8.0,0.0,19.45,0.0,75.3,13.29,0.57,0.0,53.573,0,1,24.444444
15,1,16,8.0,0.0,19.43,0.0,75.74,13.28,0.38,0.0,30.8986,0,1,24.444444
16,1,17,8.0,0.0,19.37,0.0,76.33,13.53,0.38,0.0,9.70243,0,1,24.444444
17,1,18,8.0,0.0,19.27,0.0,77.0,12.05,0.38,0.0,0.0,0,1,24.444444
18,1,19,8.0,0.0,19.13,0.0,77.7,8.78,0.0,0.0,0.0,0,1,24.444444
19,1,20,8.0,0.0,19.05,0.0,77.95,7.94,0.0,0.0,0.0,0,1,24.444444
20,1,21,8.0,0.0,19.02,0.0,78.04,8.09,0.0,0.0,0.0,0,1,24.444444
21,1,22,8.0,0.0,19.02,0.0,78.12,8.22,0.0,0.0,0.0,0,1,24.444444
22,1,23,8.0,0.0,19.02,0.0,78.26,9.46,0.0,0.0,0.0,0,1,24.444444
23,1,24,8.0,0.0,18.98,0.0,78.49,8.85,0.0,0.0,0.0,0,1,24.444444
24,1,1,5.0,0.0,19.02,0.0,78.3,12.7,0.0,0.0,0.0,0,1,24.444444
25,1,2,5.0,0.0,19.08,0.0,78.05,11.71,0.0,0.0,0.0,0,1,24.444444
26,1,3,5.0,0.0,19.09,0.0,78.08,12.37,0.0,0.0,0.0,0,1,24.444444
27,1,4,5.0,0.0,19.09,0.0,78.19,13.18,0.0,0.0,0.0,0,1,24.444444
28,1,5,5.0,0.0,19.1,0.0,78.24,11.83,0.0,0.0,0.0,0,1,24.444444
29,1,6,5.0,0.0,19.09,0.0,78.35,10.52,0.0,0.0,0.0,0,1,24.444444
30,1,7,5.0,0.0,19.7,0.0,75.46,12.39,0.66,10.69,0.0,0,1,24.444444
31,1,8,5.0,0.0,20.5,0.0,69.05,21.56,1.8,17.55,0.0,0,1,24.444444
32,1,9,5.0,0.0,20.92,0.0,64.69,51.77,3.32,19.58,45.0112,0,1,24.444444
33,1,10,5.0,0.0,21.05,0.0,61.6,43.15,3.6,19.23,113.45,0,1,24.444444
34,1,11,5.0,0.0,21.08,0.0,58.92,46.88,3.7,20.54,174.733,0,1,24.444444
35,1,12,5.0,0.0,21.16,0.0,55.84,43.67,4.42,13.97,233.711,0,1,24.444444
36,1,13,5.0,0.0,21.24,0.0,51.7,45.51,5.28,9.26,244.996,0,1,24.444444
37,1,14,5.0,0.0,21.3,0.0,47.77,46.45,5.0,8.57,232.412,0,1,24.444444
38,1,15,5.0,0.0,21.3,0.0,43.78,47.56,3.15,7.24,185.682,0,1,24.444444
39,1,16,5.0,0.0,21.32,0.0,40.45,46.58,3.05,0.89,116.802,0,1,24.444444
40,1,17,5.0,0.0,21.37,0.0,37.45,49.93,4.07,0.0,25.4838,0,1,24.444444
41,1,18,5.0,0.0,21.24,0.0,35.31,37.36,2.41,0.0,0.0,0,1,24.444444
42,1,19,5.0,0.0,21.02,0.0,33.12,20.88,1.94,0.0,0.0,0,1,24.444444
43,1,20,5.0,0.0,20.83,0.0,30.67,18.3,1.4,0.0,0.0,0,1,24.444444
44,1,21,5.0,0.0,20.8,0.0,28.63,17.41,1.56,0.0,0.0,0,1,24.444444
45,1,22,5.0,0.0,20.79,0.0,26.97,15.07,0.74,0.0,0.0,0,1,24.444444
46,1,23,5.0,0.0,20.07,0.0,27.57,16.94,0.47,0.0,0.0,0,1,24.444444
47,1,24,5.0,0.0,19.63,0.0,27.79,14.75,0.47,0.0,0.0,0,1,24.444444
48,1,1,6.0,0.0,19.44,0.0,27.5,13.43,0.0,0.0,0.0,0,1,24.444444
49,1,2,6.0,0.0,19.21,0.0,27.21,13.09,0.0,0.0,0.0,0,1,24.444444
50,1,3,6.0,0.0,19.04,0.0,26.83,14.17,0.0,0.0,0.0,0,1,24.444444
51,1,4,6.0,0.0,18.88,0.0,26.63,15.24,0.0,0.0,0.0,0,1,24.444444
52,1,5,6.0,0.0,18.68,0.0,26.56,15.46,0.0,0.0,0.0,0,1,24.444444
53,1,6,6.0,0.0,18.69,0.0,26.05,15.46,0.0,0.0,0.0,0,1,24.444444
54,1,7,6.0,0.0,19.59,0.0,23.9,19.16,0.66,0.0,0.0,0,1,24.444444
55,1,8,6.0,0.0,20.26,0.0,21.9,33.26,1.8,0.0,0.0,0,1,24.444444
56,1,9,6.0,0.0,20.85,0.0,21.1,70.91,3.32,0.0,148.982,0,1,24.444444
57,1,10,6.0,0.0,21.06,0.0,21.89,60.44,3.61,0.0,209.928,0,1,24.444444
58,1,11,6.0,0.0,21.12,0.0,22.87,58.02,3.7,0.0,298.434,0,1,24.444444
59,1,12,6.0,0.0,21.23,0.0,23.29,58.45,4.38,0.0,312.11,0,1,24.444444
60,1,13,6.0,0.0,21.16,0.0,23.13,61.69,5.28,0.0,332.169,0,1,24.444444
61,1,14,6.0,0.0,21.38,0.0,22.97,61.87,5.0,0.0,360.719,0,1,24.444444
62,1,15,6.0,0.0,21.44,0.0,22.99,58.02,3.15,0.0,362.224,0,1,24.444444
63,1,16,6.0,0.0,21.48,0.0,22.3,54.22,3.06,0.0,265.818,0,1,24.444444
64,1,17,6.0,0.0,21.52,0.0,22.21,55.24,4.08,0.0,89.0051,0,1,24.444444
65,1,18,6.0,0.0,21.24,0.0,22.63,42.41,2.41,0.0,0.0,0,1,24.444444
66,1,19,6.0,0.0,21.04,0.0,22.22,20.23,1.95,0.0,0.0,0,1,24.444444
67,1,20,6.0,0.0,20.86,0.0,21.67,17.43,1.38,0.0,0.0,0,1,24.444444
68,1,21,6.0,0.0,20.8,0.0,20.95,18.23,1.56,0.0,0.0,0,1,24.444444
69,1,22,6.0,0.0,20.78,0.0,20.77,15.68,0.76,0.0,0.0,0,1,24.444444
70,1,23,6.0,0.0,20.38,0.0,21.38,13.66,0.47,0.0,0.0,0,1,24.444444
71,1,24,6.0,0.0,20.1,0.0,21.98,16.16,0.47,0.0,0.0,0,1,24.444444
72,1,1,7.0,0.0,19.85,0.0,22.44,10.51,0.0,0.0,0.0,0,1,24.444444
73,1,2,7.0,0.0,19.65,0.0,22.69,10.76,0.0,0.0,0.0,0,1,24.444444
74,1,3,7.0,0.0,19.43,0.0,22.99,9.71,0.0,0.0,0.0,0,1,24.444444
75,1,4,7.0,0.0,19.25,0.0,23.2,9.9,0.0,0.0,0.0,0,1,24.444444
76,1,5,7.0,0.0,19.18,0.0,23.3,9.67,0.0,0.0,0.0,0,1,24.444444
77,1,6,7.0,0.0,19.18,0.0,23.41,10.16,0.0,0.0,0.0,0,1,24.444444
78,1,7,7.0,0.0,19.75,0.0,23.31,17.12,0.67,0.0,0.0,0,1,24.444444
79,1,8,7.0,0.0,20.55,0.0,23.76,20.97,1.05,0.0,0.0,0,1,24.444444
80,1,9,7.0,0.0,20.68,0.0,26.8,24.89,1.43,0.0,167.061,0,1,24.444444
81,1,10,7.0,0.0,20.77,0.0,30.18,27.61,2.0,0.0,239.717,0,1,24.444444
82,1,11,7.0,0.0,20.83,0.0,32.72,28.77,1.81,0.0,274.493,0,1,24.444444
83,1,12,7.0,0.0,20.91,0.0,34.45,30.59,2.19,0.0,254.904,0,1,24.444444
84,1,13,7.0,0.0,20.91,0.0,35.64,23.95,1.9,0.0,276.912,0,1,24.444444
85,1,14,7.0,0.0,20.93,0.0,37.25,19.16,1.81,4.46,247.426,0,1,24.444444
