,day_type,hour,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,indoor_dry_bulb_temperature,non_shiftable_load,solar_generation,dhw_storage_soc,electrical_storage_soc,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,cooling_demand,dhw_demand,indoor_dry_bulb_temperature_set_point,occupant_count,net_electricity_consumption
0,5,1,24.66,24.91063837286892,38.41595750389884,27.611463798620964,0.0,54.62592690305676,116.84288555041891,0.0,0.0,143.32433464351564,1020.7560931323054,0.0,0.40248835,24.278513,0.18733284,0.0,0.0,0.2,0.02893,0.02893,0.02915,0.02893,0.0,0.0,24.444445,1.0,0.18733284
1,5,2,24.07,27.07656359290199,38.31934945727863,23.515498480575143,0.0,78.37547886031273,89.22050449282602,0.0,0.0,300.3610606910159,825.0972919589249,0.0,0.38262463,24.264734,0.18591776,0.0,0.0,0.0,0.02893,0.02915,0.02915,0.02893,0.0,0.0,24.444445,1.0,0.18733284
2,5,3,23.9,29.3518332705072,39.15048156640295,23.65944301861671,0.0,259.82213408862566,82.85593226809472,0.0,0.0,196.69112726905203,987.909330196628,0.0,0.3694583,24.214113,0.18461598,0.0,0.0,0.0,0.02893,0.02915,0.02915,0.02893,0.0,0.0,24.444445,1.0,0.18733284
3,5,4,23.87,31.032975175183328,40.93478944064445,26.68600357201619,0.0,248.63152504199184,105.13011859520628,0.0,0.0,465.4831960253559,854.3318251994236,0.0,0.36701688,24.119434,0.18735151,0.0,0.0,0.0,0.02893,0.02915,0.05867,0.02893,0.0,0.0,24.444445,1.0,0.18733284
4,5,5,23.83,33.81446723393796,39.71784097764676,24.467757525124085,0.0,272.8251592830484,75.62798569905776,0.0,0.0,569.2033321408306,941.2433251898634,0.0,0.37403992,23.9955,0.20223667,0.0,0.0,0.0,0.02893,0.02915,0.05867,0.02893,0.0,0.0,24.444445,1.0,0.18733284
5,5,6,23.85,36.44267277981112,38.721995560016985,25.222325873257702,0.0,132.196509224438,65.86416328392711,0.0,0.0,911.750135702176,468.3834829297313,0.0,0.38520414,23.893332,0.23087537,0.0,0.0,0.0,0.02893,0.02915,0.05867,0.02893,0.0,0.0,24.444445,1.0,0.18733284
6,5,7,24.98,36.919557697577375,34.716494008317895,24.52208599239156,56.19,133.81878201486575,41.65716496993322,63.052146973707664,140.63,703.6764728259865,234.7813653755601,185.178344448436,0.395415,24.19646,0.2785689,25.331348,0.0,0.0,0.02893,0.02915,0.02915,0.02893,0.0,0.0,24.777779,1.0,0.18733284
7,5,8,26.94,38.9785423294959,33.50566779198031,27.36458294222613,90.91,96.56731119647468,0.0,189.4937961034888,268.13,916.126750380126,0.0,401.8176150993896,0.41118348,24.848763,0.4547772,91.302536,0.0,0.0,0.02915,0.02915,0.02915,0.02893,0.0,0.0,25.0,1.0,0.18733284
8,5,9,29.3,39.55098320815213,29.976657584791457,30.81295330087539,218.81,122.01820987147964,0.0,147.05727390602033,197.38,998.7860863672068,0.0,624.643111387923,0.4328323,24.99118,0.62060094,221.97502,0.0,0.0,0.02915,0.02915,0.02915,0.02893,3.8661427,1.3129643,25.0,1.0,0.18733284
9,5,10,31.66,39.49892361312904,28.918429858402952,33.26021955702842,278.2,128.23572465653933,0.0,148.78285145296525,405.23,834.0329660004646,0.0,844.4680671557885,0.42848545,24.99819,0.79678035,401.64407,0.0,0.0,0.02915,0.05867,0.02915,0.02893,1.1203837,0.0,25.0,1.0,0.18733284
10,5,11,33.87,40.08525428170629,27.676508622732783,35.02097721939927,328.87,102.59605911788576,0.0,172.22370471862143,539.94,682.6962192234053,0.0,749.1274776471071,0.45759925,24.998137,0.78700435,564.91034,0.0,0.0,0.02915,0.05867,0.02893,0.02893,1.5132071,0.0,25.0,1.0,0.18733284
11,5,12,35.9,37.52728720903596,26.089806459359437,36.69120844938156,112.41,72.89808381664214,0.0,219.14188891242225,874.11,586.8953044832238,0.0,1072.821434530928,0.48746818,24.997787,0.6676233,668.9316,0.0,0.0,0.02915,0.05867,0.02893,0.02893,1.8195976,0.11433226,25.0,1.0,0.18733284
12,5,13,37.51,36.91681278109303,25.903390632424284,38.72668925081827,121.83,57.42243914758625,0.0,106.15591792916666,844.38,389.9758929051535,0.0,686.0481127187668,0.49153635,24.996828,0.75983363,683.7988,0.0,0.0,0.02915,0.02915,0.02893,0.02893,2.3073266,0.11433226,25.0,1.0,0.18733284
13,5,14,38.69,32.41205455702462,25.72409595927396,38.56336225824167,116.94,0.0,0.0,155.3387940411361,860.31,0.0,0.0,520.8854304340953,0.48764792,24.995493,0.5440133,687.1585,0.0,0.0,0.02915,0.02915,0.02893,0.02893,2.6266377,0.0,25.0,1.0,0.18733284
14,5,15,39.3,30.835533317433235,25.26422006934006,38.41185497644129,114.1,0.0,0.0,150.66126483107612,851.91,0.0,0.0,537.2447270391707,0.47971603,24.992216,0.48300073,645.004,0.0,0.0,0.02915,0.02915,0.02893,0.02893,3.2855463,0.11433222,25.0,1.0,0.18733284
15,5,16,39.53,30.552141557040727,25.18654895787885,39.42017293605862,107.21,0.0,0.0,100.1045724763507,815.19,0.0,0.0,689.8171276715423,0.4715013,24.98889,1.462467,553.2722,0.0,0.0,0.05867,0.02915,0.02893,0.02893,3.7619107,0.2677698,25.0,1.0,0.18733284
16,5,17,39.16,28.479678874954544,24.059201729214525,40.33298102857114,99.99,0.0,0.0,94.99402961331444,741.94,0.0,0.0,926.4824182752265,0.46004352,24.990854,0.43346822,421.39114,0.0,0.0,0.05867,0.02893,0.02893,0.02893,3.663769,0.3269411,25.0,1.0,0.18733284
17,5,18,38.12,26.891977031131034,23.315087868847343,37.28779054331658,84.96,0.0,0.0,108.9930263684448,608.73,0.0,0.0,562.6353983256062,0.44940948,24.994267,0.3967779,247.31622,0.0,0.0,0.05867,0.02893,0.02893,0.02893,3.5083718,0.18567085,25.0,1.0,0.18733284
18,5,19,36.11,24.89306204801829,24.264335214361783,34.77935957493004,56.38,0.0,72.68285341984947,69.20958130048587,330.48,0.0,131.84624128055546,213.0252125478632,0.4388801,24.996351,0.24196976,67.321686,0.0,0.0,0.02915,0.02893,0.02893,0.02893,2.7809525,0.0,25.0,1.0,0.18733284
19,5,20,32.61,26.02791278830218,27.67641791850945,31.5115755854899,0.0,0.0,141.08924867572455,0.0,0.0,0.0,330.48743357900315,0.0,0.4360906,24.997953,0.3912005,-0.0,0.0,0.0,0.02915,0.02893,0.02893,0.02893,1.8793167,0.0,25.0,1.0,0.18733284
20,5,21,31.19,23.88933759822409,28.88935328227254,30.255563676779836,0.0,0.0,258.6650722092882,0.0,0.0,0.0,338.32026950666096,0.0,0.44039643,24.996908,0.3646825,0.0,0.0,0.0,0.02915,0.02893,0.02893,0.02893,2.4904008,0.37433454,25.0,1.0,0.18733284
21,5,22,29.6,24.212109493887365,32.6857586876924,32.217402669824935,0.0,0.0,146.9366187271115,0.0,0.0,0.0,600.1001625702797,0.0,0.44714594,23.413036,0.3876185,0.0,0.0,0.0,0.02915,0.02893,0.02893,0.02893,2.7821968,0.0,23.38889,1.0,0.18733284
22,5,23,28.04,23.865452169578944,33.5369373614559,28.45532217453683,0.0,0.0,212.79843280215772,0.0,0.0,0.0,856.487359324078,0.0,0.44966364,22.782463,0.19325745,0.0,0.0,0.0,0.02893,0.02893,0.02893,0.02893,2.6264436,0.0,22.777779,1.0,0.18733284
23,5,24,26.8,25.31902366153993,35.419364551362406,27.428365376403484,0.0,0.0,170.47556840108956,0.0,0.0,0.0,626.9551643037104,0.0,0.44306177,23.875748,0.18901224,0.0,0.0,0.0,0.02893,0.02893,0.02893,0.02893,0.51915574,0.0,23.944445,1.0,0.18733284
24,6,1,25.85,24.82681988194357,38.48764406758493,26.930542526983366,0.0,77.06422114262794,108.35413693073932,0.0,0.0,158.09053072116893,858.2539115839511,0.0,0.43100208,24.363268,0.18733284,0.0,0.0,0.0,0.02893,0.02893,0.02893,0.02893,0.09815397,0.0,24.444445,1.0,0.18733284
25,6,2,25.19,28.007140303573685,40.08721556251146,26.82291451930996,0.0,170.9846952598166,132.38854855811138,0.0,0.0,329.766010684188,1096.818864330259,0.0,0.39826325,23.460638,0.17920846,0.0,0.0,0.0,0.02893,0.02893,0.02893,0.02893,0.8382484,0.0,23.444445,1.0,0.18733284
26,6,3,24.85,28.575554007722147,39.172871382469,26.50530483928044,0.0,186.01118052208676,109.95351411617712,0.0,0.0,438.34098384053794,808.9185850161413,0.0,0.38313133,22.79661,0.16868313,0.0,0.0,0.0,0.02893,0.02893,0.02893,0.02893,1.2435434,0.0,22.777779,1.0,0.18733284
27,6,4,24.76,31.373488214867177,41.76142338346026,25.137736405234083,0.0,170.15962278833226,121.7054934457032,0.0,0.0,618.1786929734171,894.9290243593049,0.0,0.37263355,23.637995,0.18735151,0.0,0.0,0.0,0.02893,0.02893,0.02893,0.02893,0.057543043,0.0,23.777779,1.0,0.18733284
