,Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Solar Generation (W/kW),Heating Load (kWh),HVAC Mode (Off/Cooling/Heating),Temperature Set Point (C),Occupant Count (people)
0,1,1,8.0,0.0,19.95,0.0,61.9,1.77,0,0.0,0.0,0,1,24.444444,2
1,1,2,8.0,0.0,19.79,0.0,62.21,1.77,0,0.0,0.0,0,1,24.444444,2
2,1,3,8.0,0.0,19.7,0.0,62.33,1.77,0,0.0,0.0,0,1,24.444444,2
3,1,4,8.0,0.0,19.55,0.0,62.5,1.77,0,0.0,0.0,0,1,24.444444,2
4,1,5,8.0,0.0,19.47,0.0,62.39,1.77,0,0.0,0.0,0,1,24.444444,2
5,1,6,8.0,0.0,19.42,0.0,62.28,1.77,0,0.0,0.0,0,1,24.444444,2
6,1,7,8.0,0.0,19.36,0.0,62.25,1.77,0,0.0,0.0,0,1,24.444444,2
7,1,8,8.0,0.0,19.89,0.0,60.15,1.77,0,0.43,0.0,0,1,24.444444,2
8,1,9,8.0,0.0,20.31,0.0,58.38,1.77,0,0.0,28.2155,0,1,24.444444,2
9,1,10,8.0,0.0,21.0,0.0,54.11,3.58,0,0.0,45.8566,0,1,24.444444,2
10,1,11,8.0,0.0,21.0,0.0,53.59,7.16,0,0.0,74.4313,0,1,24.444444,2
11,1,12,8.0,0.0,21.08,0.0,54.55,7.16,0,0.0,144.55,0,1,24.444444,2
12,1,13,8.0,0.0,21.56,0.0,55.33,9.55,0,1.67,148.719,0,1,24.444444,2
13,1,14,8.0,0.0,21.9,0.0,56.8,9.55,0,1.54,96.634,0,1,24.444444,2
14,1,15,8.0,0.0,21.55,0.0,58.77,9.55,0,4.0,53.573,0,1,24.444444,2
15,1,16,8.0,0.0,21.1,0.0,60.64,9.55,0,0.0,30.8986,0,1,24.444444,2
16,1,17,8.0,0.0,21.07,0.0,60.46,9.55,0,0.0,9.70243,0,1,24.444444,2
17,1,18,8.0,0.0,21.02,0.0,59.04,7.16,0,0.0,0.0,0,1,24.444444,2
18,1,19,8.0,0.0,21.03,0.0,58.22,4.77,0,0.0,0.0,0,1,24.444444,2
19,1,20,8.0,0.0,20.7,0.0,59.12,1.77,0,0.0,0.0,0,1,24.444444,2
20,1,21,8.0,0.0,20.38,0.0,60.16,1.77,0,0.0,0.0,0,1,24.444444,2
