,Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Solar Generation (W/kW),Heating Load (kWh),HVAC Mode (Off/Cooling/Heating),Temperature Set Point (C),Occupant Count (people)
0,1,1,8,0,23.17,0.0,52.64,13.8,1.68,1.54,0.0,0,1,24.444444,3
1,1,2,8,0,22.84,0.0,50.65,7.9,0.6,0.16,0.0,0,1,24.444444,3
2,1,3,8,0,22.75,0.0,48.49,7.6,0.12,0.13,0.0,0,1,24.444444,3
3,1,4,8,0,22.71,0.0,46.96,6.5,0.24,0.01,0.0,0,1,24.444444,3
4,1,5,8,0,22.66,0.0,46.09,5.3,0.12,0.0,0.0,0,1,24.444444,3
5,1,6,8,0,22.73,0.0,45.53,10.0,1.92,0.39,0.0,0,1,24.444444,3
6,1,7,8,0,22.67,0.0,45.77,5.5,3.84,0.0,0.0,0,1,24.444444,3
7,1,8,8,0,22.72,0.0,45.91,10.4,9.12,0.43,0.0,0,1,24.444444,3
8,1,9,8,0,22.74,0.0,45.6,12.0,7.08,0.51,28.2155,0,1,24.444444,3
9,1,10,8,0,22.74,0.0,45.11,10.9,8.28,0.37,45.8566,0,1,24.444444,3
10,1,11,8,0,22.79,0.0,45.06,12.2,4.8,0.73,74.4313,0,1,24.444444,3
11,1,12,8,0,22.91,0.0,45.81,12.4,10.32,1.35,144.55,0,1,24.444444,3
12,1,13,8,0,23.17,0.0,46.91,15.1,1.68,2.75,148.719,0,1,24.444444,3
13,1,14,8,0,23.18,0.0,48.07,13.5,1.08,2.18,96.634,0,1,24.444444,3
14,1,15,8,0,23.11,0.0,48.88,12.3,2.88,1.69,53.573,0,1,24.444444,3
15,1,16,8,0,23.11,0.0,49.56,12.2,1.08,1.73,30.8986,0,1,24.444444,3
16,1,17,8,0,23.08,0.0,50.21,11.6,0.96,1.44,9.70243,0,1,24.444444,3
17,1,18,8,0,23.08,0.0,50.15,12.3,3.84,1.62,0.0,0,1,24.444444,3
18,1,19,8,0,23.1,0.0,50.16,12.1,9.36,1.8,0.0,0,1,24.444444,3
19,1,20,8,0,23.37,0.0,49.48,18.7,2.28,4.62,0.0,0,1,24.444444,3
20,1,21,8,0,23.37,0.0,49.91,16.3,2.28,3.73,0.0,0,1,24.444444,3
21,1,22,8,0,23.54,0.0,50.16,19.0,1.2,5.68,0.0,0,1,24.444444,3
22,1,23,8,0,23.43,0.0,51.38,14.9,1.92,3.51,0.0,0,1,24.444444,3
23,1,24,8,0,23.3,0.0,52.47,12.9,0.96,2.32,0.0,0,1,24.444444,3
24,1,1,5,0,23.38,0.0,52.78,16.0,0.36,4.03,0.0,0,1,24.444444,3
25,1,2,5,0,23.42,0.0,53.48,15.6,0.48,4.06,0.0,0,1,24.444444,3
26,1,3,5,0,23.31,0.0,54.48,12.7,0.12,2.56,0.0,0,1,24.444444,3
27,1,4,5,0,23.28,0.0,54.98,12.7,1.8,2.59,0.0,0,1,24.444444,3
28,1,5,5,0,23.2,0.0,55.59,10.5,0.12,1.78,0.0,0,1,24.444444,3
29,1,6,5,0,23.24,0.0,55.6,13.1,1.68,2.65,0.0,0,1,24.444444,3
30,1,7,5,0,23.23,0.0,55.86,12.7,4.2,2.47,0.0,0,1,24.444444,3
31,1,8,5,0,23.14,0.0,56.65,10.0,19.44,1.65,0.0,0,1,24.444444,3
32,1,9,5,0,23.16,0.0,56.32,12.1,12.0,2.01,45.0112,0,1,24.444444,3
33,1,10,5,0,23.23,0.0,54.79,13.7,5.64,2.86,113.45,0,1,24.444444,3
34,1,11,5,0,23.34,0.0,52.35,14.8,14.4,3.76,174.733,0,1,24.444444,3
35,1,12,5,0,23.28,0.0,50.25,11.2,6.84,2.26,233.711,0,1,24.444444,3
36,1,13,5,0,23.25,0.0,47.23,10.7,2.64,2.12,244.996,0,1,24.444444,3
37,1,14,5,0,23.3,0.0,43.52,12.1,4.08,2.7,232.412,0,1,24.444444,3
38,1,15,5,0,23.32,0.0,40.07,12.1,0.84,2.62,185.682,0,1,24.444444,3
39,1,16,5,0,23.27,0.0,37.67,12.2,4.56,1.84,116.802,0,1,24.444444,3
