,Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Solar Generation (W/kW),Heating Load (kWh),HVAC Mode (Off/Cooling/Heating),Temperature Set Point (C)
0,1,1,8,0,22.8,0.0,53.12,10.3,2.04,2.46,0.0,0,1,24.444444
1,1,2,8,0,22.54,0.0,51.02,7.6,2.52,1.36,0.0,0,1,24.444444
2,1,3,8,0,22.64,0.0,48.25,11.9,0.36,2.07,0.0,0,1,24.444444
3,1,4,8,0,22.47,0.0,47.55,7.0,1.68,1.27,0.0,0,1,24.444444
4,1,5,8,0,22.51,0.0,46.37,10.1,0.0,1.61,0.0,0,1,24.444444
5,1,6,8,0,22.62,0.0,45.61,13.3,1.2,2.34,0.0,0,1,24.444444
6,1,7,8,0,22.62,0.0,45.76,11.9,8.88,2.19,0.0,0,1,24.444444
7,1,8,8,0,22.77,0.0,45.54,18.8,19.68,4.92,0.0,0,1,24.444444
8,1,9,8,0,22.66,0.0,45.76,13.2,12.96,2.21,28.2155,0,1,24.444444
9,1,10,8,0,22.64,0.0,45.63,13.2,13.68,2.55,45.8566,0,1,24.444444
10,1,11,8,0,22.64,0.0,45.89,11.9,20.88,2.76,74.4313,0,1,24.444444
11,1,12,8,0,22.84,0.0,46.38,16.3,7.32,6.13,144.55,0,1,24.444444
12,1,13,8,0,22.93,0.0,47.9,13.4,4.44,6.03,148.719,0,1,24.444444
13,1,14,8,0,23.03,0.0,48.64,15.8,2.28,6.98,96.634,0,1,24.444444
14,1,15,8,0,22.97,0.0,49.23,14.5,1.32,5.84,53.573,0,1,24.444444
15,1,16,8,0,23.03,0.0,49.57,15.6,0.84,6.57,30.8986,0,1,24.444444
16,1,17,8,0,22.91,0.0,50.73,12.1,2.16,4.43,9.70243,0,1,24.444444
17,1,18,8,0,22.94,0.0,51.23,13.7,2.64,5.71,0.0,0,1,24.444444
18,1,19,8,0,23.27,0.0,50.09,21.0,6.96,11.35,0.0,0,1,24.444444
19,1,20,8,0,23.07,0.0,50.85,13.4,4.56,5.77,0.0,0,1,24.444444
20,1,21,8,0,22.99,0.0,51.65,12.7,1.44,5.63,0.0,0,1,24.444444
21,1,22,8,0,23.21,0.0,51.26,18.2,6.96,10.05,0.0,0,1,24.444444
22,1,23,8,0,23.1,0.0,52.02,13.6,1.92,6.28,0.0,0,1,24.444444
23,1,24,8,0,22.97,0.0,52.85,12.4,0.36,5.18,0.0,0,1,24.444444
24,1,1,5,0,22.94,0.0,53.49,12.5,1.2,5.37,0.0,0,1,24.444444
25,1,2,5,0,22.86,0.0,54.85,9.4,0.12,3.72,0.0,0,1,24.444444
26,1,3,5,0,22.79,0.0,55.95,8.3,0.24,3.3,0.0,0,1,24.444444
27,1,4,5,0,22.82,0.0,56.1,10.8,0.12,4.38,0.0,0,1,24.444444
28,1,5,5,0,22.85,0.0,55.98,11.9,0.0,4.9,0.0,0,1,24.444444
29,1,6,5,0,22.82,0.0,56.15,10.5,0.84,4.13,0.0,0,1,24.444444
30,1,7,5,0,22.78,0.0,56.74,9.4,11.28,3.57,0.0,0,1,24.444444
31,1,8,5,0,22.85,0.0,56.97,12.8,19.68,5.58,0.0,0,1,24.444444
32,1,9,5,0,22.85,0.0,56.54,13.1,6.36,5.41,45.0112,0,1,24.444444
33,1,10,5,0,22.82,0.0,55.66,11.0,5.4,4.44,113.45,0,1,24.444444
34,1,11,5,0,22.81,0.0,54.05,10.4,16.08,4.7,174.733,0,1,24.444444
35,1,12,5,0,22.87,0.0,51.55,12.7,5.28,6.25,233.711,0,1,24.444444
36,1,13,5,0,22.81,0.0,48.66,9.4,2.64,4.43,244.996,0,1,24.444444
37,1,14,5,0,22.96,0.0,44.7,13.9,1.32,6.63,232.412,0,1,24.444444
38,1,15,5,0,22.93,0.0,41.36,12.1,1.2,5.46,185.682,0,1,24.444444
39,1,16,5,0,22.84,0.0,39.23,10.5,5.4,3.65,116.802,0,1,24.444444
40,1,17,5,0,22.75,0.0,36.91,10.7,3.84,2.71,25.4838,0,1,24.444444
41,1,18,5,0,22.76,0.0,35.18,12.4,2.4,3.14,0.0,0,1,24.444444
42,1,19,5,0,22.76,0.0,33.91,12.4,3.84,2.97,0.0,0,1,24.444444
43,1,20,5,0,22.81,0.0,32.54,16.7,3.0,4.02,0.0,0,1,24.444444
44,1,21,5,0,22.82,0.0,30.89,19.1,1.8,4.33,0.0,0,1,24.444444
45,1,22,5,0,22.75,0.0,29.43,16.7,13.32,2.55,0.0,0,1,24.444444
46,1,23,5,0,22.43,0.0,28.96,9.1,1.56,0.57,0.0,0,1,24.444444
47,1,24,5,0,22.3,0.0,27.39,11.9,0.24,0.57,0.0,0,1,24.444444
48,1,1,6,0,22.31,0.0,25.87,12.7,0.36,0.55,0.0,0,1,24.444444
49,1,2,6,0,22.16,0.0,25.13,7.2,0.24,0.2,0.0,0,1,24.444444
50,1,3,6,0,22.16,0.0,24.02,12.3,0.12,0.35,0.0,0,1,24.444444
51,1,4,6,0,22.17,0.0,23.31,14.3,0.0,0.28,0.0,0,1,24.444444
52,1,5,6,0,22.11,0.0,22.97,8.9,0.24,0.01,0.0,0,1,24.444444
53,1,6,6,0,22.09,0.0,22.49,8.9,3.36,0.0,0.0,0,1,24.444444
54,1,7,6,0,22.09,0.0,22.05,10.9,10.44,0.0,0.0,0,1,24.444444
55,1,8,6,0,22.11,0.0,21.5,11.0,14.4,0.11,0.0,0,1,24.444444
56,1,9,6,0,22.11,0.0,20.46,10.2,7.8,0.1,148.982,0,1,24.444444
57,1,10,6,0,22.12,0.0,19.3,11.1,19.68,0.39,209.928,0,1,24.444444
58,1,11,6,0,22.15,0.0,18.45,12.9,3.48,0.75,298.434,0,1,24.444444
59,1,12,6,0,22.2,0.0,17.84,13.4,7.44,0.87,312.11,0,1,24.444444
60,1,13,6,0,22.27,0.0,17.46,13.5,4.32,1.14,332.169,0,1,24.444444
61,1,14,6,0,22.34,0.0,17.15,12.0,5.16,1.33,360.719,0,1,24.444444
62,1,15,6,0,22.48,0.0,16.56,13.9,0.84,2.09,362.224,0,1,24.444444
63,1,16,6,0,22.45,0.0,16.14,10.9,3.72,1.87,265.818,0,1,24.444444
64,1,17,6,0,22.36,0.0,16.38,9.7,6.0,1.32,89.0051,0,1,24.444444
