,Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Solar Generation (W/kW),Heating Load (kWh),HVAC Mode (Off/Cooling/Heating),Temperature Set Point (C),Occupant Count (people)
0,1,1,8,0,22.75,0.0,49.66,18.6,0.96,5.69,0.0,0,1,24.444444,2
1,1,2,8,0,22.55,0.0,47.61,16.0,0.48,3.26,0.0,0,1,24.444444,2
2,1,3,8,0,22.45,0.0,45.93,14.8,0.24,2.69,0.0,0,1,24.444444,2
3,1,4,8,0,22.38,0.0,44.92,14.5,0.24,2.39,0.0,0,1,24.444444,2
4,1,5,8,0,22.41,0.0,44.17,16.2,1.44,3.21,0.0,0,1,24.444444,2
5,1,6,8,0,22.32,0.0,44.4,12.8,2.52,1.63,0.0,0,1,24.444444,2
6,1,7,8,0,22.35,0.0,44.64,15.7,5.4,3.07,0.0,0,1,24.444444,2
7,1,8,8,0,22.34,0.0,45.12,15.0,15.0,2.63,0.0,0,1,24.444444,2
8,1,9,8,0,22.26,0.0,45.32,13.7,2.88,1.44,28.2155,0,1,24.444444,2
9,1,10,8,0,22.27,0.0,44.99,15.0,3.96,2.23,45.8566,0,1,24.444444,2
10,1,11,8,0,22.42,0.0,44.61,18.2,5.64,4.65,74.4313,0,1,24.444444,2
11,1,12,8,0,22.54,0.0,45.22,16.7,3.12,5.56,144.55,0,1,24.444444,2
12,1,13,8,0,22.65,0.0,46.62,16.1,3.72,6.76,148.719,0,1,24.444444,2
13,1,14,8,0,22.64,0.0,47.72,15.3,1.44,5.83,96.634,0,1,24.444444,2
14,1,15,8,0,22.42,0.0,49.24,9.1,0.96,1.86,53.573,0,1,24.444444,2
15,1,16,8,0,22.51,0.0,49.77,14.0,0.84,4.33,30.8986,0,1,24.444444,2
16,1,17,8,0,22.59,0.0,49.82,15.8,5.88,5.19,9.70243,0,1,24.444444,2
17,1,18,8,0,22.48,0.0,50.06,12.1,6.36,3.0,0.0,0,1,24.444444,2
18,1,19,8,0,22.59,0.0,49.73,15.8,9.48,5.61,0.0,0,1,24.444444,2
19,1,20,8,0,22.81,0.0,48.8,22.1,3.96,10.84,0.0,0,1,24.444444,2
20,1,21,8,0,22.9,0.0,48.25,22.8,2.76,12.06,0.0,0,1,24.444444,2
21,1,22,8,0,22.78,0.0,49.44,15.7,7.08,6.69,0.0,0,1,24.444444,2
22,1,23,8,0,22.94,0.0,49.17,23.3,2.04,13.6,0.0,0,1,24.444444,2
23,1,24,8,0,22.87,0.0,49.47,18.7,1.08,8.61,0.0,0,1,24.444444,2
24,1,1,5,0,22.73,0.0,51.02,14.1,0.36,5.24,0.0,0,1,24.444444,2
25,1,2,5,0,22.61,0.0,53.13,11.2,0.6,3.79,0.0,0,1,24.444444,2
26,1,3,5,0,22.72,0.0,53.46,16.9,0.36,7.76,0.0,0,1,24.444444,2
27,1,4,5,0,22.58,0.0,54.31,11.2,0.48,3.74,0.0,0,1,24.444444,2
28,1,5,5,0,22.54,0.0,55.07,11.5,0.12,3.96,0.0,0,1,24.444444,2
29,1,6,5,0,22.56,0.0,55.24,13.0,2.28,4.57,0.0,0,1,24.444444,2
30,1,7,5,0,22.64,0.0,55.02,15.9,1.56,6.52,0.0,0,1,24.444444,2
31,1,8,5,0,22.51,0.0,55.89,10.9,19.8,3.54,0.0,0,1,24.444444,2
32,1,9,5,0,22.5,0.0,55.92,12.4,4.44,3.9,45.0112,0,1,24.444444,2
33,1,10,5,0,22.53,0.0,54.69,13.4,1.56,4.84,113.45,0,1,24.444444,2
34,1,11,5,0,22.57,0.0,52.64,13.5,6.48,5.56,174.733,0,1,24.444444,2
35,1,12,5,0,22.72,0.0,49.51,18.0,1.08,9.15,233.711,0,1,24.444444,2
36,1,13,5,0,22.51,0.0,47.51,8.9,4.2,2.77,244.996,0,1,24.444444,2
37,1,14,5,0,22.6,0.0,43.74,13.6,1.08,5.69,232.412,0,1,24.444444,2
38,1,15,5,0,22.64,0.0,40.29,14.1,3.24,5.77,185.682,0,1,24.444444,2
39,1,16,5,0,22.55,0.0,38.1,11.8,1.2,3.03,116.802,0,1,24.444444,2
40,1,17,5,0,22.48,0.0,35.54,14.2,2.52,2.81,25.4838,0,1,24.444444,2
41,1,18,5,0,22.46,0.0,33.3,15.5,2.4,2.99,0.0,0,1,24.444444,2
42,1,19,5,0,22.53,0.0,31.42,18.0,3.24,4.07,0.0,0,1,24.444444,2
43,1,20,5,0,22.55,0.0,30.17,19.9,5.52,4.34,0.0,0,1,24.444444,2
44,1,21,5,0,22.48,0.0,29.08,19.2,5.28,3.31,0.0,0,1,24.444444,2
45,1,22,5,0,22.38,0.0,28.06,18.2,9.72,2.27,0.0,0,1,24.444444,2
46,1,23,5,0,22.27,0.0,27.17,19.7,1.8,1.42,0.0,0,1,24.444444,2
47,1,24,5,0,22.09,0.0,25.94,17.7,1.32,0.69,0.0,0,1,24.444444,2
48,1,1,6,0,21.99,0.0,25.0,15.1,0.36,0.33,0.0,0,1,24.444444,2
49,1,2,6,0,21.86,0.0,24.34,14.9,0.6,0.18,0.0,0,1,24.444444,2
50,1,3,6,0,21.79,0.0,23.59,15.8,1.32,0.16,0.0,0,1,24.444444,2
51,1,4,6,0,21.78,0.0,23.08,17.5,0.6,0.18,0.0,0,1,24.444444,2
52,1,5,6,0,21.65,0.0,22.89,13.7,1.68,0.0,0.0,0,1,24.444444,2
53,1,6,6,0,21.63,0.0,22.46,14.7,2.88,0.0,0.0,0,1,24.444444,2
54,1,7,6,0,21.67,0.0,21.86,19.0,8.4,0.04,0.0,0,1,24.444444,2
55,1,8,6,0,21.6,0.0,21.26,12.7,8.64,0.0,0.0,0,1,24.444444,2
56,1,9,6,0,21.61,0.0,20.03,15.3,5.88,0.0,148.982,0,1,24.444444,2
57,1,10,6,0,21.64,0.0,18.63,15.7,0.96,0.0,209.928,0,1,24.444444,2
58,1,11,6,0,21.76,0.0,17.57,17.6,2.52,0.17,298.434,0,1,24.444444,2
59,1,12,6,0,21.88,0.0,16.81,19.0,4.68,0.36,312.11,0,1,24.444444,2
60,1,13,6,0,21.8,0.0,16.49,13.2,2.4,0.11,332.169,0,1,24.444444,2
61,1,14,6,0,21.75,0.0,16.21,9.9,0.96,0.04,360.719,0,1,24.444444,2
62,1,15,6,0,21.84,0.0,15.63,11.0,0.84,0.2,362.224,0,1,24.444444,2
63,1,16,6,0,21.92,0.0,15.04,11.5,8.52,0.22,265.818,0,1,24.444444,2
64,1,17,6,0,21.89,0.0,14.97,12.9,2.52,0.17,89.0051,0,1,24.444444,2
65,1,18,6,0,21.98,0.0,15.42,19.6,4.2,0.48,0.0,0,1,24.444444,2
66,1,19,6,0,22.01,0.0,16.52,18.8,3.48,0.51,0.0,0,1,24.444444,2
67,1,20,6,0,22.04,0.0,17.5,20.0,3.48,0.74,0.0,0,1,24.444444,2
68,1,21,6,0,21.98,0.0,18.51,19.0,1.92,0.45,0.0,0,1,24.444444,2
69,1,22,6,0,22.01,0.0,19.64,21.2,1.8,0.73,0.0,0,1,24.444444,2
70,1,23,6,0,21.91,0.0,20.65,17.6,1.44,0.27,0.0,0,1,24.444444,2
71,1,24,6,0,21.88,0.0,21.0,17.4,1.44,0.24,0.0,0,1,24.444444,2
72,1,1,7,0,21.74,0.0,21.29,14.1,0.48,0.0,0.0,0,1,24.444444,2
73,1,2,7,0,21.66,0.0,21.61,14.2,0.6,0.0,0.0,0,1,24.444444,2
74,1,3,7,0,21.69,0.0,21.97,18.3,0.48,0.06,0.0,0,1,24.444444,2
75,1,4,7,0,21.64,0.0,22.56,15.0,0.72,0.0,0.0,0,1,24.444444,2
76,1,5,7,0,21.64,0.0,23.3,15.0,0.24,0.0,0.0,0,1,24.444444,2
77,1,6,7,0,21.65,0.0,24.4,17.0,0.84,0.0,0.0,0,1,24.444444,2
78,1,7,7,0,21.67,0.0,25.52,16.9,2.04,0.03,0.0,0,1,24.444444,2
79,1,8,7,0,21.74,0.0,26.67,15.7,5.76,0.14,0.0,0,1,24.444444,2
80,1,9,7,0,21.85,0.0,27.77,15.1,3.36,0.19,167.061,0,1,24.444444,2
81,1,10,7,0,21.93,0.0,28.84,15.3,7.2,0.41,239.717,0,1,24.444444,2
82,1,11,7,0,22.08,0.0,29.38,17.1,15.72,0.94,274.493,0,1,24.444444,2
83,1,12,7,0,22.22,0.0,30.09,17.4,4.56,1.82,254.904,0,1,24.444444,2
84,1,13,7,0,22.43,0.0,30.65,19.6,9.72,3.95,276.912,0,1,24.444444,2
85,1,14,7,0,22.56,0.0,31.7,19.2,2.52,5.21,247.426,0,1,24.444444,2
86,1,15,7,0,22.6,0.0,33.42,16.1,4.56,4.85,205.656,0,1,24.444444,2
87,1,16,7,0,22.62,0.0,34.75,15.4,8.76,4.57,115.319,0,1,24.444444,2
88,1,17,7,0,22.38,0.0,36.49,9.1,11.16,0.86,19.8617,0,1,24.444444,2
89,1,18,7,0,22.54,0.0,37.89,17.3,21.96,4.4,0.0,0,1,24.444444,2
90,1,19,7,0,22.67,0.0,39.38,19.2,5.64,6.09,0.0,0,1,24.444444,2
91,1,20,7,0,22.67,0.0,41.19,18.1,6.12,5.48,0.0,0,1,24.444444,2
92,1,21,7,0,22.68,0.0,42.65,18.7,4.2,6.04,0.0,0,1,24.444444,2
93,1,22,7,0,22.72,0.0,43.98,19.3,2.76,7.14,0.0,0,1,24.444444,2
94,1,23,7,0,22.78,0.0,44.92,21.3,3.36,9.06,0.0,0,1,24.444444,2
95,1,24,7,0,22.73,0.0,45.68,19.2,0.84,6.53,0.0,0,1,24.444444,2
96,1,1,1,0,22.67,0.0,46.21,17.7,0.84,4.89,0.0,0,1,24.444444,2
97,1,2,1,0,22.55,0.0,47.22,13.8,0.96,3.41,0.0,0,1,24.444444,2
98,1,3,1,0,22.56,0.0,48.6,14.4,0.84,4.22,0.0,0,1,24.444444,2
99,1,4,1,0,22.58,0.0,49.58,15.4,0.36,4.84,0.0,0,1,24.444444,2
100,1,5,1,0,22.4,0.0,50.87,9.9,0.12,1.81,0.0,0,1,24.444444,2
101,1,6,1,0,22.59,0.0,50.59,17.9,0.36,6.21,0.0,0,1,24.444444,2
102,1,7,1,0,22.6,0.0,50.89,16.7,2.28,5.43,0.0,0,1,24.444444,2
103,1,8,1,0,22.62,0.0,51.04,17.1,5.88,5.95,0.0,0,1,24.444444,2
104,1,9,1,0,22.38,0.0,52.06,9.0,3.48,1.23,35.0533,0,1,24.444444,2
105,1,10,1,0,22.33,0.0,52.51,9.0,6.36,1.8,83.3007,0,1,24.444444,2
106,1,11,1,0,22.69,0.0,50.85,19.2,21.72,9.07,133.474,0,1,24.444444,2
107,1,12,1,0,22.75,0.0,50.35,15.7,8.88,8.53,161.289,0,1,24.444444,2
108,1,13,1,0,22.86,0.0,49.87,16.1,4.08,10.96,205.484,0,1,24.444444,2
109,1,14,1,0,22.95,0.0,49.62,15.4,14.52,12.54,208.856,0,1,24.444444,2
110,1,15,1,0,22.97,0.0,50.44,12.7,3.48,11.71,162.253,0,1,24.444444,2
111,1,16,1,0,23.0,0.0,51.59,13.6,7.32,13.12,119.52,0,1,24.444444,2
112,1,17,1,0,23.03,0.0,52.59,15.9,7.8,14.47,23.3456,0,1,24.444444,2
113,1,18,1,0,23.0,0.0,53.73,15.9,10.92,11.87,0.0,0,1,24.444444,2
114,1,19,1,0,22.95,0.0,53.89,16.4,7.2,10.7,0.0,0,1,24.444444,2
115,1,20,1,0,23.01,0.0,51.4,22.9,7.68,15.88,0.0,0,1,24.444444,2
116,1,21,1,0,22.89,0.0,47.82,19.0,6.24,7.71,0.0,0,1,24.444444,2
117,1,22,1,0,22.72,0.0,44.38,17.9,11.04,4.95,0.0,0,1,24.444444,2
118,1,23,1,0,22.46,0.0,41.16,15.0,3.96,2.39,0.0,0,1,24.444444,2
119,1,24,1,0,22.34,0.0,37.8,17.0,2.28,2.06,0.0,0,1,24.444444,2
120,1,1,2,0,22.16,0.0,34.81,15.6,0.6,0.76,0.0,0,1,24.444444,2
121,1,2,2,0,21.78,0.0,32.47,9.5,0.84,0.01,0.0,0,1,24.444444,2
122,1,3,2,0,21.63,0.0,29.64,10.3,0.12,0.0,0.0,0,1,24.444444,2
123,1,4,2,0,21.64,0.0,26.93,14.2,0.24,0.0,0.0,0,1,24.444444,2
124,1,5,2,0,21.59,0.0,24.87,11.1,0.84,0.0,0.0,0,1,24.444444,2
125,1,6,2,0,21.55,0.0,23.25,11.3,1.8,0.0,0.0,0,1,24.444444,2
126,1,7,2,0,21.55,0.0,22.15,12.7,5.04,0.0,0.0,0,1,24.444444,2
127,1,8,2,0,21.57,0.0,21.19,14.9,15.24,0.0,0.0,0,1,24.444444,2
128,1,9,2,0,21.56,0.0,20.08,15.5,2.04,0.0,94.531,0,1,24.444444,2
129,1,10,2,0,21.55,0.0,18.98,13.0,2.04,0.0,180.835,0,1,24.444444,2
130,1,11,2,0,21.56,0.0,17.5,15.2,2.76,0.0,242.911,0,1,24.444444,2
131,1,12,2,0,21.7,0.0,16.13,21.0,1.2,0.07,319.648,0,1,24.444444,2
132,1,13,2,0,21.66,0.0,15.02,16.5,4.2,0.0,316.014,0,1,24.444444,2
133,1,14,2,0,21.6,0.0,14.45,13.8,0.72,0.0,295.067,0,1,24.444444,2
134,1,15,2,0,21.59,0.0,13.92,14.0,1.32,0.0,234.592,0,1,24.444444,2
135,1,16,2,0,21.66,0.0,13.21,19.4,1.32,0.04,142.415,0,1,24.444444,2
136,1,17,2,0,21.57,0.0,12.64,12.2,2.04,0.0,39.7412,0,1,24.444444,2
137,1,18,2,0,21.57,0.0,12.21,17.0,1.68,0.0,0.0,0,1,24.444444,2
138,1,19,2,0,21.61,0.0,12.07,18.4,2.04,0.0,0.0,0,1,24.444444,2
139,1,20,2,0,21.63,0.0,12.27,19.4,3.24,0.0,0.0,0,1,24.444444,2
140,1,21,2,0,21.63,0.0,12.51,20.0,4.08,0.0,0.0,0,1,24.444444,2
141,1,22,2,0,21.62,0.0,12.74,18.8,6.48,0.0,0.0,0,1,24.444444,2
142,1,23,2,0,21.62,0.0,12.78,19.8,2.4,0.0,0.0,0,1,24.444444,2
143,1,24,2,0,21.55,0.0,12.8,13.9,1.08,0.0,0.0,0,1,24.444444,2
144,1,1,3,0,21.51,0.0,12.82,10.8,2.64,0.0,0.0,0,1,24.444444,2
145,1,2,3,0,21.53,0.0,12.85,16.2,0.36,0.0,0.0,0,1,24.444444,2
146,1,3,3,0,21.51,0.0,12.87,11.2,0.12,0.0,0.0,0,1,24.444444,2
147,1,4,3,0,21.5,0.0,12.84,11.4,0.6,0.0,0.0,0,1,24.444444,2
148,1,5,3,0,21.51,0.0,12.81,13.8,0.6,0.0,0.0,0,1,24.444444,2
149,1,6,3,0,21.5,0.0,12.72,13.1,2.64,0.0,0.0,0,1,24.444444,2
150,1,7,3,0,21.51,0.0,12.63,14.4,2.76,0.0,0.0,0,1,24.444444,2
151,1,8,3,0,21.5,0.0,12.54,11.6,23.4,0.0,0.0,0,1,24.444444,2
152,1,9,3,0,21.5,0.0,12.18,10.9,3.72,0.0,166.448,0,1,24.444444,2
153,1,10,3,0,21.51,0.0,11.72,12.4,4.44,0.0,240.656,0,1,24.444444,2
154,1,11,3,0,21.54,0.0,11.25,16.3,3.48,0.0,277.92,0,1,24.444444,2
155,1,12,3,0,21.56,0.0,10.83,18.1,1.8,0.0,283.128,0,1,24.444444,2
156,1,13,3,0,21.55,0.0,10.61,13.4,1.8,0.0,364.434,0,1,24.444444,2
157,1,14,3,0,21.55,0.0,10.57,11.3,2.52,0.0,388.746,0,1,24.444444,2
158,1,15,3,0,21.6,0.0,10.66,15.2,1.2,0.0,386.071,0,1,24.444444,2
159,1,16,3,0,21.62,0.0,10.89,14.1,6.12,0.0,271.037,0,1,24.444444,2
160,1,17,3,0,21.63,0.0,11.09,16.5,5.28,0.0,110.073,0,1,24.444444,2
161,1,18,3,0,21.57,0.0,11.69,12.4,2.28,0.0,11.1155,0,1,24.444444,2
162,1,19,3,0,21.57,0.0,12.61,14.9,3.72,0.0,0.0,0,1,24.444444,2
163,1,20,3,0,21.59,0.0,13.6,16.6,5.64,0.0,0.0,0,1,24.444444,2
164,1,21,3,0,21.61,0.0,14.42,17.6,9.84,0.0,0.0,0,1,24.444444,2
165,1,22,3,0,21.6,0.0,15.1,16.7,4.08,0.0,0.0,0,1,24.444444,2
166,1,23,3,0,21.6,0.0,15.87,17.0,1.08,0.0,0.0,0,1,24.444444,2
167,1,24,3,0,21.63,0.0,16.52,19.9,1.32,0.0,0.0,0,1,24.444444,2
168,1,1,4,0,21.58,0.0,17.14,15.9,2.16,0.0,0.0,0,1,24.444444,2
169,1,2,4,0,21.54,0.0,17.46,12.1,0.84,0.0,0.0,0,1,24.444444,2
